Session_Name_	Trial_Index_	Trial_Recycled_	Needs_recalibrate	RESPONSE	gaze_in_CIRCLE	list	item	condition	unique_id	target	audio_s	phonemic_distractor	semantic_distractor	unrelated_distractor	target_location	phonemic_location	semantic_location	unrelated_location	timepoint_onset	timepoint_offset	audio_end	targetword	ispractice	ACCURACY	RT
120721_3	1	False	0	.	False	3	101	practice	3p1	monocle_01.jpg	monocle.wav	farmer_01.jpg	crab_01.jpg	spoon_01.jpg	1	2	3	4	0.119847	0.789939	1.176042	monocle	1	-1	-1
120721_3	2	False	0	target	False	3	105	practice	3p5	snowboard_01.jpg	snowboard.wav	knife_01.jpg	backgammon_01.jpg	flask_01.jpg	1	2	3	4	0.155615	1.113107	1.378979	snowboard	1	1	3584
120721_3	3	False	0	target	False	3	102	practice	3p2	hardhat_01.jpg	hardhat.wav	martini_01.jpg	fox_01.jpg	pineapple_01.jpg	2	3	4	1	0.136648	0.96219	1.22	hardhat	1	1	2374
120721_3	4	False	0	target	False	3	104	practice	3p4	bowlingpin_01.jpg	bowlingpin.wav	steak_01.jpg	highlighter_01.jpg	coconut_01.jpg	4	1	2	3	0.228648	0.960862	1.201646	bowlingpin	1	1	2242
120721_3	5	False	0	target	False	3	103	practice	3p3	apron_01.jpg	apron.wav	butterfly_01.jpg	ferriswheel_01.jpg	judge_01.jpg	3	4	1	2	0.160633	0.746895	1.090104	apron	1	1	2422
120721_3	6	False	0	target	False	3	2	0	3X2Y	raspberries_02.jpg	raspberries.wav	radiator_01.jpg	grapefruit_01.jpg	kettle_01.jpg	4	1	2	3	0.238	1.042	1.367	raspberries	2	1	1777
120721_3	7	False	0	target	False	3	28	1	3X28Y	policeman_02.jpg	policeman.wav	picnic_01.jpg	badge_01.jpg	beehive_01.jpg	2	3	4	1	0.151552	0.963331	1.27	policeman	2	1	1911
120721_3	8	False	0	target	False	3	46	0	3X46Y	slingshot_02.jpg	slingshot.wav	slotmachine_01.jpg	marble_01.jpg	filecabinet_01.jpg	4	1	2	3	0.187183	0.931867	1.34	slingshot	2	1	2488
120721_3	9	False	0	target	False	3	1	1	3X1Y	honeydew_02.jpg	honeydew.wav	haystack_01.jpg	watermelon_01.jpg	plumber_01.jpg	3	4	1	2	0.165	0.788	1.24	honeydew	2	1	1853
120721_3	10	False	0	target	False	3	21	1	3X21Y	photographer_02.jpg	photographer.wav	fedora_01.jpg	gymnast_01.jpg	hotdog_01.jpg	3	4	1	2	0.216	1.062	1.52	photographer	2	1	1906
120721_3	11	False	0	target	False	3	8	1	3X8Y	sweetpotato_02.jpg	sweetpotato.wav	swimsuit_01.jpg	eggplant_01.jpg	flipflops_01.jpg	2	3	4	1	0.258	1.11	1.347	sweetpotato	2	1	2244
120721_3	12	False	0	target	False	3	16	1	3X16Y	rollingpin_02.jpg	rollingpin.wav	raincoat_01.jpg	grater_01.jpg	dominoes_01.jpg	2	3	4	1	0.225188	0.88642	1.03	rollingpin	2	1	1920
120721_3	13	False	0	target	False	3	18	1	3X18Y	canopener_02.jpg	canopener.wav	candelabra_01.jpg	measuringcup_01.jpg	stairglide_01.jpg	4	1	2	3	0.143858	0.93652	1.16817	canopener	2	1	2287
120721_3	14	False	0	target	False	3	25	1	3X25Y	astronaut_02.jpg	astronaut.wav	abacus_01.jpg	rocket_01.jpg	bagel_01.jpg	3	4	1	2	0.24	0.881	1.31	astronaut	2	1	1970
120721_3	15	False	0	target	False	3	7	1	3X7Y	blueberries_02.jpg	blueberries.wav	bleachers_01.jpg	orange_01.jpg	coffeepot_01.jpg	1	2	3	4	0.237	0.99	1.219	blueberries	2	1	1681
120721_3	16	False	0	target	False	3	31	1	3X31Y	chainsaw_02.jpg	chainsaw.wav	chapstick_01.jpg	sledgehammer_01.jpg	jeans_01.jpg	1	2	3	4	0.217	0.844	1.29	chainsaw	2	1	2226
120721_3	17	False	0	target	False	3	3	1	3X3Y	artichoke_02.jpg	artichoke.wav	artist_01.jpg	shallots_01.jpg	markerboard_01.jpg	1	2	3	4	0.181909	1.288763	1.194604	artichoke	2	1	2094
120721_3	18	False	0	target	False	3	13	0	3X13Y	clothespin_02.jpg	clothespin.wav	classroom_01.jpg	washboard_01.jpg	headband_01.jpg	3	4	1	2	0.116083	0.864509	1.2	clothespin	2	1	1761
120721_3	19	False	0	target	False	3	36	0	3X36Y	toolbelt_02.jpg	toolbelt.wav	taxi_01.jpg	backpack_01.jpg	dalmation_01.jpg	2	3	4	1	0.236	0.86	1.33	toolbelt	2	1	2289
120721_3	20	False	0	target	False	3	43	1	3X43Y	golfclub_02.jpg	golfclub.wav	gutters_01.jpg	tee_01.jpg	blender_01.jpg	1	2	3	4	0.239	0.833	1.24	golfclub	2	1	2066
120721_3	21	False	0	target	False	3	58	0	3X58Y	wheelbarrow_02.jpg	wheelbarrow.wav	wallpaper_01.jpg	shed_01.jpg	ketchup_01.jpg	4	1	2	3	0.183311	0.87747	1.24	wheelbarrow	2	1	1765
120721_3	22	False	0	target	False	3	44	0	3X44Y	dartboard_02.jpg	dartboard.wav	defibrillator_01.jpg	crossbow_01.jpg	bullhorn_01.jpg	2	3	4	1	0.212401	0.852393	1.204563	dartboard	2	1	1621
120721_3	23	False	0	target	False	3	49	0	3X49Y	trophy_02.jpg	trophy.wav	tricycle_01.jpg	plaque_01.jpg	dogbed_01.jpg	3	4	1	2	0.167814	0.692097	1.01	trophy	2	1	1715
120721_3	24	False	0	target	False	3	29	1	3X29Y	waiter_02.jpg	server.wav	cymbals_01.jpg	buffet_01.jpg	peninsula_01.jpg	3	4	1	2	0.156001	0.694005	1.07	server	2	1	2353
120721_3	25	False	0	target	False	3	48	1	3X48Y	yoyo_02.jpg	yoyo.wav	yellow_01.jpg	frisbee_01.jpg	fortunecookie_01.jpg	2	3	4	1	0.204765	0.701873	1.11	yoyo	2	1	2052
120721_3	26	False	0	target	False	3	53	0	3X53Y	rollerskate_02.jpg	rollerskate.wav	railroadcrossing_01.jpg	pogostick_01.jpg	camper_01.jpg	3	4	1	2	0.176008	0.932662	1.26	rollerskate	2	1	1853
120721_3	27	False	0	target	False	3	4	0	3X4Y	cantaloupe_02.jpg	cantaloupe.wav	cabinet_01.jpg	peach_01.jpg	santa_01.jpg	2	3	4	1	0.502	1.03	1.58	cantaloupe	2	1	2224
120721_3	28	False	0	target	False	3	24	0	3X24Y	janitor_02.jpg	janitor.wav	jaguar_01.jpg	plunger_01.jpg	ketchup_01.jpg	2	3	4	1	0.236	0.8	1.25	janitor	2	1	2271
120721_3	29	False	0	target	False	3	57	0	3X57Y	stroller_02.jpg	stroller.wav	stretch_01.jpg	carseat_01.jpg	rubikscube_01.jpg	3	4	1	2	0.131755	0.927982	1.23	stroller	2	1	1880
120721_3	30	False	0	target	False	3	45	1	3X45Y	fishingpole_02.jpg	fishingrod.wav	firestation_01.jpg	fishingbob_01.jpg	trafficcone_01.jpg	3	4	1	2	0.208688	0.954167	1.17	fishingrod	2	1	1810
120721_3	31	False	0	target	False	3	38	1	3X38Y	paintbrush_02.jpg	paintbrush.wav	passport_01.jpg	canvas_01.jpg	chessboard_01.jpg	4	1	2	3	0.164981	0.910258	1.15	paintbrush	2	1	2111
120721_3	32	False	0	target	False	3	20	1	3X20Y	ladle_02.jpg	ladle.wav	lapel_01.jpg	colander_01.jpg	magazine_01.jpg	2	3	4	1	0.087444	0.647605	1.01	ladle	2	1	1753
120721_3	33	False	0	target	False	3	56	1	3X56Y	skateboard_02.jpg	skateboard.wav	skylight_01.jpg	wagon_01.jpg	barre_01.jpg	2	3	4	1	0.178231	0.95743	1.275917	skateboard	2	1	1980
