"","participant","session","fixation_type","BIN_INDEX","sumFix","nTrials","meanFix"
"137","308602","1","target","39",2,55,0.0363636363636364
"138","308602","1","target","4",2,55,0.0363636363636364
"139","308602","1","target","40",4,55,0.0727272727272727
"140","308602","1","target","41",4,55,0.0727272727272727
"141","308602","1","target","42",6,55,0.109090909090909
"142","308602","1","target","43",3,55,0.0545454545454545
"143","308602","1","target","44",1,55,0.0181818181818182
"144","308602","1","target","45",2,55,0.0363636363636364
"145","308602","1","target","46",7,55,0.127272727272727
"146","308602","1","target","47",12,55,0.218181818181818
"147","308602","1","target","48",6,55,0.109090909090909
"148","308602","1","target","49",7,55,0.127272727272727
"149","308602","1","target","5",1,55,0.0181818181818182
"150","308602","1","target","50",6,55,0.109090909090909
"151","308602","1","target","51",7,55,0.127272727272727
"152","308602","1","target","52",6,55,0.109090909090909
"153","308602","1","target","53",4,55,0.0727272727272727
"154","308602","1","target","54",8,55,0.145454545454545
"155","308602","1","target","55",4,55,0.0727272727272727
"156","308602","1","target","56",2,55,0.0363636363636364
"157","308602","1","target","57",2,55,0.0363636363636364
"158","308602","1","target","58",3,55,0.0545454545454545
"159","308602","1","target","59",4,55,0.0727272727272727
"160","308602","1","target","6",1,55,0.0181818181818182
"161","308602","1","target","60",3,55,0.0545454545454545
"162","308602","1","target","61",1,55,0.0181818181818182
"163","308602","1","target","62",1,55,0.0181818181818182
"164","308602","1","target","63",1,55,0.0181818181818182
"165","308602","1","target","64",2,55,0.0363636363636364
"166","308602","1","target","65",3,55,0.0545454545454545
"167","308602","1","target","66",1,55,0.0181818181818182
"168","308602","1","target","67",0,55,0
"169","308602","1","target","68",0,55,0
"170","308602","1","target","69",0,55,0
"171","308602","1","target","7",1,55,0.0181818181818182
"172","308602","1","unrelated","0",5,55,0.0909090909090909
"173","308602","1","unrelated","2",7,55,0.127272727272727
"174","308602","1","unrelated","20",3,55,0.0545454545454545
"175","308602","1","unrelated","21",3,55,0.0545454545454545
"176","308602","1","unrelated","22",2,55,0.0363636363636364
"177","308602","1","unrelated","23",2,55,0.0363636363636364
"178","308602","1","unrelated","24",2,55,0.0363636363636364
"179","308602","1","unrelated","25",3,55,0.0545454545454545
"180","308602","1","unrelated","26",2,55,0.0363636363636364
"181","308602","1","unrelated","27",1,55,0.0181818181818182
"182","308602","1","unrelated","28",4,55,0.0727272727272727
"183","308602","1","unrelated","29",4,55,0.0727272727272727
