"","...1","participant","session","fixation_type","BIN_INDEX","sumFix","nTrials","meanFix","BIN_INDEX.Index","poly1","poly2","poly3","poly4"
"30",30,308602,1,"phonological",45,1,55,0.0181818181818182,33,0.0382682602039757,-0.099597100927925,-0.120732211544354,0.0623520411110932
"31",31,308602,1,"phonological",46,2,55,0.0363636363636364,34,0.0452372404967125,-0.0928028449283534,-0.130025123315512,0.0434843973286446
"32",32,308602,1,"phonological",47,1,55,0.0181818181818182,35,0.0522062207894493,-0.0853186731935896,-0.137893221425525,0.02337646091636
"33",33,308602,1,"phonological",48,1,55,0.0181818181818182,36,0.0591752010821861,-0.0771445857236338,-0.144209798380811,0.00237392242957767
"34",34,308602,1,"phonological",49,1,55,0.0181818181818182,37,0.0661441813749229,-0.0682805825184859,-0.148848146687787,-0.0191447748665969
"35",35,308602,1,"phonological",5,8,55,0.145454545454545,5,-0.240490951505496,0.194363561946717,-0.0352705648948769,-0.126497826821889
"36",36,308602,1,"phonological",50,0,55,0,38,0.0731131616676596,-0.0587266635781459,-0.151681558852869,-0.0407684349972886
"37",37,308602,1,"phonological",51,0,55,0,39,0.0800821419603964,-0.0484828289026138,-0.152583327382474,-0.0620531092778549
"38",38,308602,1,"phonological",52,0,55,0,40,0.0870511222531332,-0.0375490784918897,-0.151426744783019,-0.0825220963138848
"39",39,308602,1,"phonological",53,0,55,0,41,0.09402010254587,-0.0259254123459734,-0.148085103560922,-0.101665942001199
"40",40,308602,1,"phonological",54,0,55,0,42,0.100989082838607,-0.0136118304648651,-0.142431696222598,-0.118942439525848
"41",41,308602,1,"phonological",55,0,55,0,43,0.107958063131344,-0.000608332848564711,-0.134339815274464,-0.133776629364118
"42",42,308602,1,"phonological",56,0,55,0,44,0.11492704342408,0.0130850805029278,-0.123682753222938,-0.145560799282523
"43",43,308602,1,"phonological",57,0,55,0,45,0.121896023716817,0.0274684095896123,-0.110333802574436,-0.153654484337811
"44",44,308602,1,"phonological",58,0,55,0,46,0.128865004009554,0.042541654411489,-0.0941662558353751,-0.15738446687696
"45",45,308602,1,"phonological",59,0,55,0,47,0.135833984302291,0.0583048149685577,-0.0750534055121718,-0.156044776537181
"46",46,308602,1,"phonological",6,8,55,0.145454545454545,6,-0.233521971212759,0.173561188538605,0.00234412162641305,-0.188288618174581
"47",47,308602,1,"phonological",60,0,55,0,48,0.142802964595028,0.0747578912608186,-0.0528685441112433,-0.148896690245915
"48",48,308602,1,"phonological",61,0,55,0,49,0.149771944887764,0.0919008832882715,-0.027484964139006,-0.135168732220837
"49",49,308602,1,"phonological",62,0,55,0,50,0.156740925180501,0.109733791050916,0.00122404189812295,-0.114056673969852
"50",50,308602,1,"phonological",63,0,55,0,51,0.163709905473238,0.128256614548754,0.0333851814937267,-0.0847235342910967
"51",51,308602,1,"phonological",64,0,55,0,52,0.170678885765975,0.147469353781783,0.0691251621413887,-0.0462995792729401
"52",52,308602,1,"phonological",65,0,55,0,53,0.177647866058711,0.167372008750004,0.108570691334692,0.00211767770601801
"53",53,308602,1,"phonological",66,0,55,0,54,0.184616846351448,0.187964579453417,0.15184847656722,0.0614634759769448
"54",54,308602,1,"phonological",67,0,55,0,55,0.191585826644185,0.209247065892023,0.199085225332555,0.132705807580777
"55",55,308602,1,"phonological",68,0,55,0,56,0.198554806936922,0.23121946806582,0.250407645124281,0.21684541726822
"56",56,308602,1,"phonological",69,0,55,0,57,0.205523787229659,0.25388178597481,0.305942443435981,0.314915802499746
"57",57,308602,1,"phonological",7,11,55,0.2,7,-0.226552990920022,0.153448730865686,0.0363153220655198,-0.238290102360574
"58",58,308602,1,"semantic",0,3,55,0.0545454545454545,1,-0.27533585296918,0.308724165015157,-0.282431051009487,0.395343051364708
"59",59,308602,1,"semantic",2,6,55,0.109090909090909,2,-0.261397892383706,0.260910176582205,-0.171242615887677,0.139745859236871
"60",60,308602,1,"semantic",20,5,55,0.0909090909090909,8,-0.135956247114444,-0.0452308869797893,0.204035603875583,-0.209585110880311
"61",61,308602,1,"semantic",21,7,55,0.127272727272727,9,-0.128987266821707,-0.0556845243600198,0.200302285990359,-0.180897684504513
"62",62,308602,1,"semantic",22,6,55,0.109090909090909,10,-0.12201828652897,-0.0654482460050581,0.194826094426699,-0.151448183967282
"63",63,308602,1,"semantic",23,6,55,0.109090909090909,11,-0.115049306236234,-0.0745220519149044,0.187733736678187,-0.121709736457489
"64",64,308602,1,"semantic",24,6,55,0.109090909090909,12,-0.108080325943497,-0.0829059420895585,0.179151920238406,-0.0921227164542352
"65",65,308602,1,"semantic",25,5,55,0.0909090909090909,13,-0.10111134565076,-0.0905999165290206,0.169207352600939,-0.0630947457268562
"66",66,308602,1,"semantic",26,5,55,0.0909090909090909,14,-0.0941423653580233,-0.0976039752332906,0.158026741259369,-0.0350006933349173
"67",67,308602,1,"semantic",27,5,55,0.0909090909090909,15,-0.0871733850652865,-0.103918118202369,0.14573679370728,-0.00818267562821627
"68",68,308602,1,"semantic",28,7,55,0.127272727272727,16,-0.0802044047725497,-0.109542345436254,0.132464217438254,0.0170499437532176
"69",69,308602,1,"semantic",29,6,55,0.109090909090909,17,-0.0732354244798129,-0.114476656934948,0.118335719945875,0.0404205538791238
"70",70,308602,1,"semantic",3,6,55,0.109090909090909,3,-0.254428912090969,0.238038055968517,-0.12193722615834,0.0364731122740197
"71",71,308602,1,"semantic",30,6,55,0.109090909090909,18,-0.0662664441870762,-0.11872105269845,0.103478008723725,0.0616852965290094
"72",72,308602,1,"semantic",31,8,55,0.145454545454545,19,-0.0592974638943394,-0.122275532726759,0.0880177912653895,0.0806330661921507
"73",73,308602,1,"semantic",32,8,55,0.145454545454545,20,-0.0523284836016026,-0.125140097019877,0.0720817750644498,0.0970855100675917
"74",74,308602,1,"semantic",33,6,55,0.109090909090909,21,-0.0453595033088658,-0.127314745577802,0.0557966676144896,0.110897028064144
"75",75,308602,1,"semantic",34,5,55,0.0909090909090909,22,-0.038390523016129,-0.128799478400536,0.0392891764090921,0.121954772800391
"76",76,308602,1,"semantic",35,5,55,0.0909090909090909,23,-0.0314215427233922,-0.129594295488077,0.0226860089418404,0.130178649604679
"77",77,308602,1,"semantic",36,4,55,0.0727272727272727,24,-0.0244525624306554,-0.129699196840426,0.00611387270631778,0.135521316515128
"78",78,308602,1,"semantic",37,4,55,0.0727272727272727,25,-0.0174835821379186,-0.129114182457583,-0.0103005248038926,0.137968184279622
"79",79,308602,1,"semantic",38,2,55,0.0363636363636364,26,-0.0105146018451818,-0.127839252339548,-0.0264304760952076,0.137537416355817
"80",80,308602,1,"semantic",39,2,55,0.0363636363636364,27,-0.00354562155244505,-0.125874406486321,-0.042149273674044,0.134279928911134
"81",81,308602,1,"semantic",4,9,55,0.163636363636364,4,-0.247459931798233,0.215855851090021,-0.0766554449919331,-0.0519205577573336
"82",82,308602,1,"semantic",40,2,55,0.0363636363636364,28,0.00342335874029174,-0.123219644897902,-0.0573302100468187,0.128279390822765
"83",83,308602,1,"semantic",41,1,55,0.0181818181818182,29,0.0103923390330285,-0.119874967574291,-0.0718465777199485,0.119652223677668
"84",84,308602,1,"semantic",42,0,55,0,30,0.0173613193257653,-0.115840374515487,-0.08557166919985,0.108547601772573
"85",85,308602,1,"semantic",43,2,55,0.0363636363636364,31,0.0243302996185021,-0.111115865721492,-0.0983787769929403,0.0951474521139743
"86",86,308602,1,"semantic",44,2,55,0.0363636363636364,32,0.0312992799112389,-0.105701441192305,-0.110141193605636,0.0796664544181369
"87",87,308602,1,"semantic",45,2,55,0.0363636363636364,33,0.0382682602039757,-0.099597100927925,-0.120732211544354,0.0623520411110932
"88",88,308602,1,"semantic",46,2,55,0.0363636363636364,34,0.0452372404967125,-0.0928028449283534,-0.130025123315512,0.0434843973286446
"89",89,308602,1,"semantic",47,2,55,0.0363636363636364,35,0.0522062207894493,-0.0853186731935896,-0.137893221425525,0.02337646091636
"90",90,308602,1,"semantic",48,2,55,0.0363636363636364,36,0.0591752010821861,-0.0771445857236338,-0.144209798380811,0.00237392242957767
"91",91,308602,1,"semantic",49,1,55,0.0181818181818182,37,0.0661441813749229,-0.0682805825184859,-0.148848146687787,-0.0191447748665969
"92",92,308602,1,"semantic",5,7,55,0.127272727272727,5,-0.240490951505496,0.194363561946717,-0.0352705648948769,-0.126497826821889
"93",93,308602,1,"semantic",50,1,55,0.0181818181818182,38,0.0731131616676596,-0.0587266635781459,-0.151681558852869,-0.0407684349972886
"94",94,308602,1,"semantic",51,0,55,0,39,0.0800821419603964,-0.0484828289026138,-0.152583327382474,-0.0620531092778549
"95",95,308602,1,"semantic",52,0,55,0,40,0.0870511222531332,-0.0375490784918897,-0.151426744783019,-0.0825220963138848
"96",96,308602,1,"semantic",53,0,55,0,41,0.09402010254587,-0.0259254123459734,-0.148085103560922,-0.101665942001199
"97",97,308602,1,"semantic",54,0,55,0,42,0.100989082838607,-0.0136118304648651,-0.142431696222598,-0.118942439525848
"98",98,308602,1,"semantic",55,0,55,0,43,0.107958063131344,-0.000608332848564711,-0.134339815274464,-0.133776629364118
"99",99,308602,1,"semantic",56,0,55,0,44,0.11492704342408,0.0130850805029278,-0.123682753222938,-0.145560799282523
"100",100,308602,1,"semantic",57,0,55,0,45,0.121896023716817,0.0274684095896123,-0.110333802574436,-0.153654484337811
"101",101,308602,1,"semantic",58,0,55,0,46,0.128865004009554,0.042541654411489,-0.0941662558353751,-0.15738446687696
"102",102,308602,1,"semantic",59,0,55,0,47,0.135833984302291,0.0583048149685577,-0.0750534055121718,-0.156044776537181
"103",103,308602,1,"semantic",6,5,55,0.0909090909090909,6,-0.233521971212759,0.173561188538605,0.00234412162641305,-0.188288618174581
"104",104,308602,1,"semantic",60,0,55,0,48,0.142802964595028,0.0747578912608186,-0.0528685441112433,-0.148896690245915
"105",105,308602,1,"semantic",61,0,55,0,49,0.149771944887764,0.0919008832882715,-0.027484964139006,-0.135168732220837
"106",106,308602,1,"semantic",62,0,55,0,50,0.156740925180501,0.109733791050916,0.00122404189812295,-0.114056673969852
"107",107,308602,1,"semantic",63,0,55,0,51,0.163709905473238,0.128256614548754,0.0333851814937267,-0.0847235342910967
"108",108,308602,1,"semantic",64,0,55,0,52,0.170678885765975,0.147469353781783,0.0691251621413887,-0.0462995792729401
"109",109,308602,1,"semantic",65,0,55,0,53,0.177647866058711,0.167372008750004,0.108570691334692,0.00211767770601801
"110",110,308602,1,"semantic",66,0,55,0,54,0.184616846351448,0.187964579453417,0.15184847656722,0.0614634759769448
"111",111,308602,1,"semantic",67,0,55,0,55,0.191585826644185,0.209247065892023,0.199085225332555,0.132705807580777
"112",112,308602,1,"semantic",68,0,55,0,56,0.198554806936922,0.23121946806582,0.250407645124281,0.21684541726822
"113",113,308602,1,"semantic",69,0,55,0,57,0.205523787229659,0.25388178597481,0.305942443435981,0.314915802499746
"114",114,308602,1,"semantic",7,1,55,0.0181818181818182,7,-0.226552990920022,0.153448730865686,0.0363153220655198,-0.238290102360574
"115",115,308602,1,"target",0,22,55,0.4,1,-0.27533585296918,0.308724165015157,-0.282431051009487,0.395343051364708
"116",116,308602,1,"target",2,5,55,0.0909090909090909,2,-0.261397892383706,0.260910176582205,-0.171242615887677,0.139745859236871
"117",117,308602,1,"target",20,0,55,0,8,-0.135956247114444,-0.0452308869797893,0.204035603875583,-0.209585110880311
"118",118,308602,1,"target",21,0,55,0,9,-0.128987266821707,-0.0556845243600198,0.200302285990359,-0.180897684504513
"119",119,308602,1,"target",22,0,55,0,10,-0.12201828652897,-0.0654482460050581,0.194826094426699,-0.151448183967282
"120",120,308602,1,"target",23,0,55,0,11,-0.115049306236234,-0.0745220519149044,0.187733736678187,-0.121709736457489
"121",121,308602,1,"target",24,0,55,0,12,-0.108080325943497,-0.0829059420895585,0.179151920238406,-0.0921227164542352
"122",122,308602,1,"target",25,0,55,0,13,-0.10111134565076,-0.0905999165290206,0.169207352600939,-0.0630947457268562
"123",123,308602,1,"target",26,0,55,0,14,-0.0941423653580233,-0.0976039752332906,0.158026741259369,-0.0350006933349173
"124",124,308602,1,"target",27,0,55,0,15,-0.0871733850652865,-0.103918118202369,0.14573679370728,-0.00818267562821627
