Session_Name_	Trial_Index_	Trial_Recycled_	Needs_recalibrate	RESPONSE	gaze_in_CIRCLE	list	item	condition	unique_id	target	audio_s	phonemic_distractor	semantic_distractor	unrelated_distractor	target_location	phonemic_location	semantic_location	unrelated_location	timepoint_onset	timepoint_offset	audio_end	targetword	ispractice	ACCURACY	RT
T1208211	18	False	0	target	False	1	42	1	1X42Y	tennisracket_02.jpg	tennisracket.wav	teacup_01.jpg	golfclub_01.jpg	slinky_01.jpg	2	3	4	1	0.170069	0.956647	1.2	tennisracket	2	1	1905
T1208211	19	False	0	target	False	1	39	0	1X39Y	pitchfork_02.jpg	pitchfork.wav	palace_01.jpg	tiller_01.jpg	grilledcheese_01.jpg	3	4	1	2	0.204289	0.808544	1.095333	pitchfork	2	1	2433
T1208211	20	False	0	target	False	1	55	0	1X55Y	steeringwheel_02.jpg	steeringwheel.wav	stingray_01.jpg	windshield_01.jpg	porch_01.jpg	3	4	1	2	0.181671	1.014988	1.36	steeringwheel	2	1	1940
T1208211	21	False	0	target	False	1	49	0	1X49Y	trophy_02.jpg	trophy.wav	tricycle_01.jpg	plaque_01.jpg	dogbed_01.jpg	1	2	3	4	0.167814	0.692097	1.01	trophy	2	1	2477
T1208211	22	False	0	target	False	1	11	1	1X11Y	wateringcan_02.jpg	wateringcan.wav	winebottle_01.jpg	sprinkler_01.jpg	pharmacy_01.jpg	3	4	1	2	0.175936	1.021064	1.3	wateringcan	2	1	1910
T1208211	23	False	0	target	False	1	34	0	1X34Y	jackhammer_02.jpg	jackhammer.wav	javelin_01.jpg	constructionworker_01.jpg	garland_01.jpg	2	3	4	1	0.167068	0.965372	1.29	jackhammer	2	1	3879
T1208211	24	False	0	target	False	1	1	1	1X1Y	honeydew_02.jpg	honeydew.wav	haystack_01.jpg	watermelon_01.jpg	plumber_01.jpg	1	2	3	4	0.165	0.788	1.24	honeydew	2	1	1977
T1208211	25	False	0	target	False	1	23	0	1X23Y	bartender_02.jpg	bartender.wav	beekeeper_01.jpg	wine_01.jpg	windsock_01.jpg	3	4	1	2	0.236249	1.002308	1.12	bartender	2	1	2758
T1208211	26	False	0	target	False	1	15	0	1X15Y	chopsticks_02.jpg	chopsticks.wav	cheerleader_01.jpg	wasabi_01.jpg	dachshund_01.jpg	3	4	1	2	0.201657	1.101947	1.26	chopsticks	2	1	2613
T1208211	27	False	0	target	False	1	52	1	1X52Y	submarine_02.jpg	submarine.wav	saladbar_01.jpg	battleship_01.jpg	bagel_01.jpg	4	1	2	3	0.064487	0.890537	1.19	submarine	2	1	2954
