IP_INDEX,IP_LABEL,RECORDING_SESSION_LABEL,TRIAL_LABEL,TRIAL_INDEX,BIN_INDEX,BIN_START_TIME,BIN_END_TIME,RIGHT_IA_1_SAMPLE_COUNT,RIGHT_IA_2_SAMPLE_COUNT,RIGHT_IA_3_SAMPLE_COUNT,RIGHT_IA_4_SAMPLE_COUNT,RIGHT_IA_0_SAMPLE_COUNT,RIGHT_IA_1_SAMPLE_COUNT_%,RIGHT_IA_2_SAMPLE_COUNT_%,RIGHT_IA_3_SAMPLE_COUNT_%,RIGHT_IA_4_SAMPLE_COUNT_%,RIGHT_IA_0_SAMPLE_COUNT_%,TRIAL_START_TIME,RESPONSE,condition,item,list,phonemic_location,semantic_location,target_location,targetword,unrelated_location,timepoint_offset,timepoint_onset,target
1,Onset-to-mouseclick,308613_1,Trial: 2,2,0,0,48,.,.,.,.,.,.,.,.,.,.,2099691,target,practice,101,1,2,3,1,monocle,4,0.789939,0.119847,monocle_01.jpg
1,Onset-to-mouseclick,308613_1,Trial: 2,2,1,50,98,.,.,.,.,.,.,.,.,.,.,2099691,target,practice,101,1,2,3,1,monocle,4,0.789939,0.119847,monocle_01.jpg
1,Onset-to-mouseclick,308613_1,Trial: 2,2,2,100,148,.,.,.,.,.,.,.,.,.,.,2099691,target,practice,101,1,2,3,1,monocle,4,0.789939,0.119847,monocle_01.jpg
1,Onset-to-mouseclick,308613_1,Trial: 2,2,3,150,198,.,.,.,.,.,.,.,.,.,.,2099691,target,practice,101,1,2,3,1,monocle,4,0.789939,0.119847,monocle_01.jpg
1,Onset-to-mouseclick,308613_1,Trial: 2,2,4,200,248,.,.,.,.,.,.,.,.,.,.,2099691,target,practice,101,1,2,3,1,monocle,4,0.789939,0.119847,monocle_01.jpg
1,Onset-to-mouseclick,308613_1,Trial: 2,2,5,250,298,.,.,.,.,.,.,.,.,.,.,2099691,target,practice,101,1,2,3,1,monocle,4,0.789939,0.119847,monocle_01.jpg
1,Onset-to-mouseclick,308613_1,Trial: 2,2,6,300,348,.,.,.,.,.,.,.,.,.,.,2099691,target,practice,101,1,2,3,1,monocle,4,0.789939,0.119847,monocle_01.jpg
1,Onset-to-mouseclick,308613_1,Trial: 2,2,7,350,398,.,.,.,.,.,.,.,.,.,.,2099691,target,practice,101,1,2,3,1,monocle,4,0.789939,0.119847,monocle_01.jpg
1,Onset-to-mouseclick,308613_1,Trial: 2,2,8,400,448,.,.,.,.,.,.,.,.,.,.,2099691,target,practice,101,1,2,3,1,monocle,4,0.789939,0.119847,monocle_01.jpg
1,Onset-to-mouseclick,308613_1,Trial: 2,2,9,450,498,.,.,.,.,.,.,.,.,.,.,2099691,target,practice,101,1,2,3,1,monocle,4,0.789939,0.119847,monocle_01.jpg
