IP_INDEX,IP_LABEL,RECORDING_SESSION_LABEL,TRIAL_LABEL,TRIAL_INDEX,BIN_INDEX,BIN_START_TIME,BIN_END_TIME,RIGHT_IA_1_SAMPLE_COUNT,RIGHT_IA_2_SAMPLE_COUNT,RIGHT_IA_3_SAMPLE_COUNT,RIGHT_IA_4_SAMPLE_COUNT,RIGHT_IA_0_SAMPLE_COUNT,RIGHT_IA_1_SAMPLE_COUNT_%,RIGHT_IA_2_SAMPLE_COUNT_%,RIGHT_IA_3_SAMPLE_COUNT_%,RIGHT_IA_4_SAMPLE_COUNT_%,RIGHT_IA_0_SAMPLE_COUNT_%,TRIAL_START_TIME,RESPONSE,condition,item,list,phonemic_location,semantic_location,target_location,targetword,unrelated_location,timepoint_offset,timepoint_onset,target
1,Onset-to-mouseclick,3086172,Trial: 45,45,0,0,48,0,0,0,0,24,0,0,0,0,1,1908273,target,0,50,2,4,1,3,truck,2,0.561131,0.13975,truck_02.jpg
1,Onset-to-mouseclick,3086172,Trial: 45,45,1,50,98,0,0,0,0,5,0,0,0,0,1,1908273,target,0,50,2,4,1,3,truck,2,0.561131,0.13975,truck_02.jpg
1,Onset-to-mouseclick,3086172,Trial: 45,45,2,100,148,5,0,0,0,0,1,0,0,0,0,1908273,target,0,50,2,4,1,3,truck,2,0.561131,0.13975,truck_02.jpg
1,Onset-to-mouseclick,3086172,Trial: 45,45,3,150,198,25,0,0,0,0,1,0,0,0,0,1908273,target,0,50,2,4,1,3,truck,2,0.561131,0.13975,truck_02.jpg
1,Onset-to-mouseclick,3086172,Trial: 45,45,4,200,248,25,0,0,0,0,1,0,0,0,0,1908273,target,0,50,2,4,1,3,truck,2,0.561131,0.13975,truck_02.jpg
1,Onset-to-mouseclick,3086172,Trial: 45,45,5,250,298,25,0,0,0,0,1,0,0,0,0,1908273,target,0,50,2,4,1,3,truck,2,0.561131,0.13975,truck_02.jpg
1,Onset-to-mouseclick,3086172,Trial: 45,45,6,300,348,25,0,0,0,0,1,0,0,0,0,1908273,target,0,50,2,4,1,3,truck,2,0.561131,0.13975,truck_02.jpg
1,Onset-to-mouseclick,3086172,Trial: 45,45,7,350,398,18,0,0,0,0,1,0,0,0,0,1908273,target,0,50,2,4,1,3,truck,2,0.561131,0.13975,truck_02.jpg
1,Onset-to-mouseclick,3086172,Trial: 45,45,8,400,448,0,0,0,0,0,0,0,0,0,0,1908273,target,0,50,2,4,1,3,truck,2,0.561131,0.13975,truck_02.jpg
1,Onset-to-mouseclick,3086172,Trial: 45,45,9,450,498,23,0,0,0,0,1,0,0,0,0,1908273,target,0,50,2,4,1,3,truck,2,0.561131,0.13975,truck_02.jpg
1,Onset-to-mouseclick,3086172,Trial: 45,45,10,500,548,25,0,0,0,0,1,0,0,0,0,1908273,target,0,50,2,4,1,3,truck,2,0.561131,0.13975,truck_02.jpg
1,Onset-to-mouseclick,3086172,Trial: 45,45,11,550,598,25,0,0,0,0,1,0,0,0,0,1908273,target,0,50,2,4,1,3,truck,2,0.561131,0.13975,truck_02.jpg
1,Onset-to-mouseclick,3086172,Trial: 45,45,12,600,648,25,0,0,0,0,1,0,0,0,0,1908273,target,0,50,2,4,1,3,truck,2,0.561131,0.13975,truck_02.jpg
1,Onset-to-mouseclick,3086172,Trial: 45,45,13,650,698,25,0,0,0,0,1,0,0,0,0,1908273,target,0,50,2,4,1,3,truck,2,0.561131,0.13975,truck_02.jpg
1,Onset-to-mouseclick,3086172,Trial: 45,45,14,700,748,25,0,0,0,0,1,0,0,0,0,1908273,target,0,50,2,4,1,3,truck,2,0.561131,0.13975,truck_02.jpg
1,Onset-to-mouseclick,3086172,Trial: 45,45,15,750,798,4,0,0,0,0,1,0,0,0,0,1908273,target,0,50,2,4,1,3,truck,2,0.561131,0.13975,truck_02.jpg
1,Onset-to-mouseclick,3086172,Trial: 45,45,16,800,848,24,0,0,0,0,1,0,0,0,0,1908273,target,0,50,2,4,1,3,truck,2,0.561131,0.13975,truck_02.jpg
1,Onset-to-mouseclick,3086172,Trial: 45,45,17,850,898,25,0,0,0,0,1,0,0,0,0,1908273,target,0,50,2,4,1,3,truck,2,0.561131,0.13975,truck_02.jpg
1,Onset-to-mouseclick,3086172,Trial: 45,45,18,900,948,25,0,0,0,0,1,0,0,0,0,1908273,target,0,50,2,4,1,3,truck,2,0.561131,0.13975,truck_02.jpg
1,Onset-to-mouseclick,3086172,Trial: 45,45,19,950,998,25,0,0,0,0,1,0,0,0,0,1908273,target,0,50,2,4,1,3,truck,2,0.561131,0.13975,truck_02.jpg
1,Onset-to-mouseclick,3086172,Trial: 45,45,20,1000,1048,25,0,0,0,0,1,0,0,0,0,1908273,target,0,50,2,4,1,3,truck,2,0.561131,0.13975,truck_02.jpg
1,Onset-to-mouseclick,3086172,Trial: 45,45,21,1050,1098,25,0,0,0,0,1,0,0,0,0,1908273,target,0,50,2,4,1,3,truck,2,0.561131,0.13975,truck_02.jpg
1,Onset-to-mouseclick,3086172,Trial: 45,45,22,1100,1148,25,0,0,0,0,1,0,0,0,0,1908273,target,0,50,2,4,1,3,truck,2,0.561131,0.13975,truck_02.jpg
1,Onset-to-mouseclick,3086172,Trial: 45,45,23,1150,1198,25,0,0,0,0,1,0,0,0,0,1908273,target,0,50,2,4,1,3,truck,2,0.561131,0.13975,truck_02.jpg
1,Onset-to-mouseclick,3086172,Trial: 45,45,24,1200,1248,25,0,0,0,0,1,0,0,0,0,1908273,target,0,50,2,4,1,3,truck,2,0.561131,0.13975,truck_02.jpg
1,Onset-to-mouseclick,3086172,Trial: 45,45,25,1250,1298,25,0,0,0,0,1,0,0,0,0,1908273,target,0,50,2,4,1,3,truck,2,0.561131,0.13975,truck_02.jpg
1,Onset-to-mouseclick,3086172,Trial: 45,45,26,1300,1348,25,0,0,0,0,1,0,0,0,0,1908273,target,0,50,2,4,1,3,truck,2,0.561131,0.13975,truck_02.jpg
1,Onset-to-mouseclick,3086172,Trial: 45,45,27,1350,1398,17,0,0,0,0,1,0,0,0,0,1908273,target,0,50,2,4,1,3,truck,2,0.561131,0.13975,truck_02.jpg
1,Onset-to-mouseclick,3086172,Trial: 45,45,28,1400,1448,16,0,0,0,0,1,0,0,0,0,1908273,target,0,50,2,4,1,3,truck,2,0.561131,0.13975,truck_02.jpg
1,Onset-to-mouseclick,3086172,Trial: 45,45,29,1450,1498,16,0,0,0,0,1,0,0,0,0,1908273,target,0,50,2,4,1,3,truck,2,0.561131,0.13975,truck_02.jpg
1,Onset-to-mouseclick,3086172,Trial: 45,45,30,1500,1548,0,0,9,0,0,0,0,1,0,0,1908273,target,0,50,2,4,1,3,truck,2,0.561131,0.13975,truck_02.jpg
1,Onset-to-mouseclick,3086172,Trial: 45,45,31,1550,1598,0,0,25,0,0,0,0,1,0,0,1908273,target,0,50,2,4,1,3,truck,2,0.561131,0.13975,truck_02.jpg
1,Onset-to-mouseclick,3086172,Trial: 45,45,32,1600,1648,0,0,25,0,0,0,0,1,0,0,1908273,target,0,50,2,4,1,3,truck,2,0.561131,0.13975,truck_02.jpg
1,Onset-to-mouseclick,3086172,Trial: 45,45,33,1650,1698,0,0,25,0,0,0,0,1,0,0,1908273,target,0,50,2,4,1,3,truck,2,0.561131,0.13975,truck_02.jpg
1,Onset-to-mouseclick,3086172,Trial: 45,45,34,1700,1748,0,0,25,0,0,0,0,1,0,0,1908273,target,0,50,2,4,1,3,truck,2,0.561131,0.13975,truck_02.jpg
1,Onset-to-mouseclick,3086172,Trial: 45,45,35,1750,1798,0,0,25,0,0,0,0,1,0,0,1908273,target,0,50,2,4,1,3,truck,2,0.561131,0.13975,truck_02.jpg
1,Onset-to-mouseclick,3086172,Trial: 45,45,36,1800,1845,0,0,24,0,0,0,0,1,0,0,1908273,target,0,50,2,4,1,3,truck,2,0.561131,0.13975,truck_02.jpg
1,Onset-to-mouseclick,3086172,Trial: 46,46,0,0,48,0,0,0,0,25,0,0,0,0,1,1913725,target,0,22,2,4,1,3,globe,2,0.774597,0.195208,globe_02.jpg
1,Onset-to-mouseclick,3086172,Trial: 46,46,1,50,98,0,0,0,0,25,0,0,0,0,1,1913725,target,0,22,2,4,1,3,globe,2,0.774597,0.195208,globe_02.jpg
1,Onset-to-mouseclick,3086172,Trial: 46,46,2,100,148,0,0,0,0,25,0,0,0,0,1,1913725,target,0,22,2,4,1,3,globe,2,0.774597,0.195208,globe_02.jpg
1,Onset-to-mouseclick,3086172,Trial: 46,46,3,150,198,0,0,0,0,25,0,0,0,0,1,1913725,target,0,22,2,4,1,3,globe,2,0.774597,0.195208,globe_02.jpg
1,Onset-to-mouseclick,3086172,Trial: 46,46,4,200,248,0,0,0,0,25,0,0,0,0,1,1913725,target,0,22,2,4,1,3,globe,2,0.774597,0.195208,globe_02.jpg
1,Onset-to-mouseclick,3086172,Trial: 46,46,5,250,298,0,0,0,0,25,0,0,0,0,1,1913725,target,0,22,2,4,1,3,globe,2,0.774597,0.195208,globe_02.jpg
1,Onset-to-mouseclick,3086172,Trial: 46,46,6,300,348,0,0,0,0,25,0,0,0,0,1,1913725,target,0,22,2,4,1,3,globe,2,0.774597,0.195208,globe_02.jpg
1,Onset-to-mouseclick,3086172,Trial: 46,46,7,350,398,0,0,0,0,25,0,0,0,0,1,1913725,target,0,22,2,4,1,3,globe,2,0.774597,0.195208,globe_02.jpg
1,Onset-to-mouseclick,3086172,Trial: 46,46,8,400,448,0,0,0,0,25,0,0,0,0,1,1913725,target,0,22,2,4,1,3,globe,2,0.774597,0.195208,globe_02.jpg
1,Onset-to-mouseclick,3086172,Trial: 46,46,9,450,498,0,0,0,0,25,0,0,0,0,1,1913725,target,0,22,2,4,1,3,globe,2,0.774597,0.195208,globe_02.jpg
1,Onset-to-mouseclick,3086172,Trial: 46,46,10,500,548,0,0,0,0,25,0,0,0,0,1,1913725,target,0,22,2,4,1,3,globe,2,0.774597,0.195208,globe_02.jpg
1,Onset-to-mouseclick,3086172,Trial: 46,46,11,550,598,0,0,0,0,25,0,0,0,0,1,1913725,target,0,22,2,4,1,3,globe,2,0.774597,0.195208,globe_02.jpg
1,Onset-to-mouseclick,3086172,Trial: 46,46,12,600,648,0,0,0,0,25,0,0,0,0,1,1913725,target,0,22,2,4,1,3,globe,2,0.774597,0.195208,globe_02.jpg
1,Onset-to-mouseclick,3086172,Trial: 46,46,13,650,698,0,0,0,0,25,0,0,0,0,1,1913725,target,0,22,2,4,1,3,globe,2,0.774597,0.195208,globe_02.jpg
1,Onset-to-mouseclick,3086172,Trial: 46,46,14,700,748,0,0,0,0,25,0,0,0,0,1,1913725,target,0,22,2,4,1,3,globe,2,0.774597,0.195208,globe_02.jpg
1,Onset-to-mouseclick,3086172,Trial: 46,46,15,750,798,0,0,0,0,25,0,0,0,0,1,1913725,target,0,22,2,4,1,3,globe,2,0.774597,0.195208,globe_02.jpg
1,Onset-to-mouseclick,3086172,Trial: 46,46,16,800,848,0,0,0,0,6,0,0,0,0,1,1913725,target,0,22,2,4,1,3,globe,2,0.774597,0.195208,globe_02.jpg
1,Onset-to-mouseclick,3086172,Trial: 46,46,17,850,898,11,0,0,0,0,1,0,0,0,0,1913725,target,0,22,2,4,1,3,globe,2,0.774597,0.195208,globe_02.jpg
1,Onset-to-mouseclick,3086172,Trial: 46,46,18,900,948,25,0,0,0,0,1,0,0,0,0,1913725,target,0,22,2,4,1,3,globe,2,0.774597,0.195208,globe_02.jpg
