IP_INDEX,IP_LABEL,RECORDING_SESSION_LABEL,TRIAL_LABEL,TRIAL_INDEX,BIN_INDEX,BIN_START_TIME,BIN_END_TIME,RIGHT_IA_1_SAMPLE_COUNT,RIGHT_IA_2_SAMPLE_COUNT,RIGHT_IA_3_SAMPLE_COUNT,RIGHT_IA_4_SAMPLE_COUNT,RIGHT_IA_0_SAMPLE_COUNT,RIGHT_IA_1_SAMPLE_COUNT_%,RIGHT_IA_2_SAMPLE_COUNT_%,RIGHT_IA_3_SAMPLE_COUNT_%,RIGHT_IA_4_SAMPLE_COUNT_%,RIGHT_IA_0_SAMPLE_COUNT_%,TRIAL_START_TIME,RESPONSE,condition,item,list,phonemic_location,semantic_location,target_location,targetword,unrelated_location,timepoint_offset,timepoint_onset,target
1,Onset-to-mouseclick,308613_2,Trial: 3,3,0,0,48,0,0,0,0,24,0,0,0,0,1,1219580,target,practice,103,2,4,1,3,apron,2,0.746895,0.160633,apron_01.jpg
1,Onset-to-mouseclick,308613_2,Trial: 3,3,1,50,98,0,0,0,0,25,0,0,0,0,1,1219580,target,practice,103,2,4,1,3,apron,2,0.746895,0.160633,apron_01.jpg
1,Onset-to-mouseclick,308613_2,Trial: 3,3,2,100,148,0,0,0,0,25,0,0,0,0,1,1219580,target,practice,103,2,4,1,3,apron,2,0.746895,0.160633,apron_01.jpg
1,Onset-to-mouseclick,308613_2,Trial: 3,3,3,150,198,0,0,0,0,25,0,0,0,0,1,1219580,target,practice,103,2,4,1,3,apron,2,0.746895,0.160633,apron_01.jpg
1,Onset-to-mouseclick,308613_2,Trial: 3,3,4,200,248,0,0,0,0,25,0,0,0,0,1,1219580,target,practice,103,2,4,1,3,apron,2,0.746895,0.160633,apron_01.jpg
1,Onset-to-mouseclick,308613_2,Trial: 3,3,5,250,298,0,0,0,0,25,0,0,0,0,1,1219580,target,practice,103,2,4,1,3,apron,2,0.746895,0.160633,apron_01.jpg
1,Onset-to-mouseclick,308613_2,Trial: 3,3,6,300,348,0,0,0,0,25,0,0,0,0,1,1219580,target,practice,103,2,4,1,3,apron,2,0.746895,0.160633,apron_01.jpg
1,Onset-to-mouseclick,308613_2,Trial: 3,3,7,350,398,0,0,0,0,25,0,0,0,0,1,1219580,target,practice,103,2,4,1,3,apron,2,0.746895,0.160633,apron_01.jpg
1,Onset-to-mouseclick,308613_2,Trial: 3,3,8,400,448,0,0,0,0,25,0,0,0,0,1,1219580,target,practice,103,2,4,1,3,apron,2,0.746895,0.160633,apron_01.jpg
1,Onset-to-mouseclick,308613_2,Trial: 3,3,9,450,498,0,0,0,0,25,0,0,0,0,1,1219580,target,practice,103,2,4,1,3,apron,2,0.746895,0.160633,apron_01.jpg
